Number,Description,File_name,foodPic,ID,Location,Zipcode,Restaurant_Name,Offer_Delivery,Phone,Price,EatStreetAPIKey,Dietary,Type_of_meal,Genre,Class,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,,,,
451,Chocolate_Chess_Pie,Chocolate_Chess_Pie.jpg,The_Oliver/Chocolate_Chess_Pie.jpg,451,"4807 Jefferson St, Kansas City, MO 64112",64112,The_Oliver,0,8163842500,,,Other,dessert,dessert,dessert,pecans,vanilla,pie,ice,chocolate,bean,caramel,chess,bourbon,cream,,,,,,,,,,,,,,,,,,,,,
452,Chocolate_Chess_Pie,Chocolate_Chess_Pie1.jpg,The_Oliver/Chocolate_Chess_Pie1.jpg,452,"4807 Jefferson St, Kansas City, MO 64112",64112,The_Oliver,0,8163842500,,,Other,dessert,dessert,dessert,pecans,vanilla,pie,ice,chocolate,bean,caramel,chess,bourbon,cream,,,,,,,,,,,,,,,,,,,,,
453,Chocolate_Chip_Bread_Pudding,Chocolate_Chip_Bread_Pudding.jpg,Potpie/Chocolate_Chip_Bread_Pudding.jpg,453,"904 Westport Rd Kansas City, MO 64111",64111,Potpie,0,8165612702,,,vegetarian,Dessert,dessert,dessert,sweet,chip,chocolate,delightful,pudding,treat,rich,bread,,,,,,,,,,,,,,,,,,,,,,,
454,Chocolate_Chip_Bread_Pudding,Chocolate_Chip_Bread_Pudding1.jpg,Potpie/Chocolate_Chip_Bread_Pudding1.jpg,454,"904 Westport Rd Kansas City, MO 64111",64111,Potpie,0,8165612702,,,vegetarian,dessert,dessert,dessert,chip,chocolate,dining,pudding,fine,bread,,,,,,,,,,,,,,,,,,,,,,,,,
455,Chocolate_Chip_Cannoli,Chocolate_Chip_Cannoli.jpg,Buca_di_Beppo/Chocolate_Chip_Cannoli.jpg,455,"310 W 47th St, Kansas City, MO 64112",64112,Buca_di_Beppo,0,8169316548,,,vegetarian,dessert,dessert,dessert,sauce,shells,cannoli,chip,chocolate,chips,filling,crispy,cream,,,,,,,,,,,,,,,,,,,,,,
456,Chocolate_Chip_Cookie,Chocolate_Chip_Cookie.jpg,Schlotzsky_s/Chocolate_Chip_Cookie.jpg,456,"12221 S Strangline Rd Olathe KS, 66062",66062,Schlotzsky_s,1,9137822867,$0.50,11100466,Vegetarian,dessert,dessert,dessert,cookies,sweet,chip,chocolate,cookie,chips,,,,,,,,,,,,,,,,,,,,,,,,,
457,Chocolate_Chunk_Cookie,Chocolate_Chunk_Cookie.jpg,Schlotzsky_s/Chocolate_Chunk_Cookie.jpg,457,"12221 S Strangline Rd Olathe KS, 66062",66062,Schlotzsky_s,1,9137822867,$0.50,11100466,Vegetarian,dessert,dessert,dessert,cookies,sweet,chunk,chocolate,cookie,chips,,,,,,,,,,,,,,,,,,,,,,,,,
458,Chocolate_Decadence_Cake,Chocolate_Decadence_Cake.jpg,Osteria_Il_Centro/Chocolate_Decadence_Cake.jpg,458,"5101 Main St Kansas City, MO 64112",64112,Osteria_Il_Centro,0,8165612369,,,vegetarian,dessert,dessert,dessert,gelato,cake,vanilla,decadence,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Chocolate_Decadence_Cake,Chocolate_Decadence_Cake1.jpg,Osteria_Il_Centro/Chocolate_Decadence_Cake1.jpg,459,"5101 Main St Kansas City, MO 64112",64112,Osteria_Il_Centro,0,8165612369,,,vegetarian,dessert,dessert,dessert,gelato,cake,vanilla,decadence,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Chocolate_Iced_Cake_Donut_(sprinkes),chocolate_iced_cake_donut_add_sprinkles.jpg,LaMar_s_Donuts/chocolate_iced_cake_donut_add_sprinkles.jpg,460,"12520 Quivira Rd, Overland Park, KS 66213",66213,LaMar_s_Donuts,1,9134024426,$1.29,9897906,Vegetarian,Breakfast,Breakfast,breakfast,,iced,sweet,(sprinkes),chocolate,donut,donuts,cake,,,,,,,,,,,,,,,,,,,,,,,
461,Chocolate_Pecan_Torte,Chocolate_Pecan_Torte.jpg,Andre_s_Confiserie_Suisse/Chocolate_Pecan_Torte.jpg,461,"5018 Main St, Kansas City, MO 64112",64112,Andre_s_Confiserie_Suisse,0,8165613440,,,vegetarian,dessert,dessert,dessert,wedge,slice,pecans,nuts,chocolate,pecan,cake,torte,,,,,,,,,,,,,,,,,,,,,,,
462,Chocolate_Vanilla_Cucpake,Chocolate_Vanilla_Cucpake.jpg,Bloom_Baking_Company/Chocolate_Vanilla_Cucpake.jpg,462,"15 E 3rd St, Kansas City, MO 64106",64106,Bloom_Baking_Company,0,8162838437,,,vegetarian,Dessert,dessert,dessert,cucpake,sweet,vanilla,chocolate,item,pastry,cupcake,baked,,,,,,,,,,,,,,,,,,,,,,,
463,Chocolate_Waffle_Pop,Chocolate_Waffle_Pop.jpg,The_Waffle_Bar/Chocolate_Waffle_Pop.jpg,463,"4745 Central St, Kansas City, MO 64112",64112,The_Waffle_Bar,0,8168238348,,,vegetarian,dessert,dessert,dessert,icing,brownie,ice,chocolate,pop,stick,waffle,cream,,,,,,,,,,,,,,,,,,,,,,,
464,Chop_Chop_Salad,Chop_Chop_Salad.jpg,The_Oliver/Chop_Chop_Salad.jpg,464,"4807 Jefferson St, Kansas City, MO 64112",64112,The_Oliver,0,8163842500,,,vegetarian,lunch,,salad,cheese,salad,tomatos,spinach,healthy,chop,lettuce,beans,,,,,,,,,,,,,,,,,,,,,,,
465,Chorizo_Breakfast_Burrito,Chorizo_Breakfast_Burrito.jpg,Crows_Coffee/Chorizo_Breakfast_Burrito.jpg,465,"304 E 51st St, Kansas City, MO 64112",64112,Crows_Coffee,0,8168207502,$6.25,,Meat,Breakfast,mexican,burrito,cheese,burrito,eggs,chorizo,breakfast,tortilla,,,,,,,,,,,,,,,,,,,,,,,,,
466,Chorizo_Rojo,Chorizo_Rojo.jpg,Wiener_Kitchen/Chorizo_Rojo.jpg,466,"9645 W 87th St Overland Park, KS 66212",66212,Wiener_Kitchen,0,9132968023,8,,meat,"breakfast, lunch",German,hot dog,sausage,jalapeno,onion,rojo,cheddar,cilantro,aioli,buns,chorizo,tortilla,egg,relish,lime,,,,,,,,,,,,,,,,,,
467,Chorizo_Rojo,Chorizo_Rojo1.jpg,Wiener_Kitchen/Chorizo_Rojo1.jpg,467,"9645 W 87th St Overland Park, KS 66212",66212,Wiener_Kitchen,0,9132968023,8,,meat,"breakfast, lunch",German,hot dog,sausage,jalapeno,onion,rojo,cheddar,cilantro,aioli,buns,chorizo,tortilla,egg,relish,lime,,,,,,,,,,,,,,,,,,
468,Chorizo_Rojo,Chorizo_Rojo2.jpg,Wiener_Kitchen/Chorizo_Rojo2.jpg,468,"9645 W 87th St Overland Park, KS 66212",66212,Wiener_Kitchen,0,9132968023,8,,meat,"breakfast, lunch",German,hot dog,sausage,jalapeno,onion,rojo,cheddar,cilantro,aioli,buns,chorizo,tortilla,egg,relish,lime,,,,,,,,,,,,,,,,,,
469,Chung_King_Spicy_Chicken,Chung_King_Spicy_Chicken.jpg,Sichuan_Dynasty/Chung_King_Spicy_Chicken.jpg,469,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$11.99,12003512,meat,Dinner,asian,meat,king,spicy,chung,peppers,chicken,fried,onions,chili,,,,,,,,,,,,,,,,,,,,,,,
470,Chung_King_Spicy_Chicken,Chung_King_Spicy_Chicken1.jpg,Sichuan_Dynasty/Chung_King_Spicy_Chicken1.jpg,470,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$11.99,12003512,meat,Dinner,asian,meat,king,spicy,chung,peppers,chicken,fried,onions,chili,,,,,,,,,,,,,,,,,,,,,,,
471,Chung_King_Spicy_Shrimp,Chun_King_Spicy_Shrimp.jpg,Sichuan_Dynasty/Chun_King_Spicy_Shrimp.jpg,471,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$13.99,12003582,meat,Dinner,asian,meat,king,spicy,chung,shrimp,peppers,chili,fried,onions,,,,,,,,,,,,,,,,,,,,,,,
472,Chupa_Cobb_Rah,Chupa_Cobb_Rah.jpg,TiKiTaco/Chupa_Cobb_Rah.jpg,472,"1710 W 39th St, Kansas City, MO 64111",64111,TiKiTaco,0,8164893686,,,vegetarian,lunch,,misc,corn,chupa,cobb,rah,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Chuychanga,Chuychanga.jpg,Chuy_s/Chuychanga.jpg,473,"209 W 46th Terrace, Kansas City, MO 64112",64112,Chuy_s,0,8169312783,,,Meat,lunch,,,,cheese,cilantro,tortilla,chuychanga,flour,of,chiles,choice,sour,green,oven,roasted,fresh,chicken,fried,sauce,your,garnished,cream,,,,,,,,,,,
474,Cilantro_Ranch_Chicken_Sandwich,Cilantro_Ranch_Chicken_Sandwich.jpg,Cooper_s_Hawk/Cilantro_Ranch_Chicken_Sandwich.jpg,474,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,Meat,lunch,,sandwich,cilantro,sandwich,avacado,mayo,ranch,cheddar,seasoned,chicken,smoked,bason,applewood,,,,,,,,,,,,,,,,,,,,
475,Cinnamon_roll,Cinnamon_roll.jpg,Bloom_Baking_Company/Cinnamon_roll.jpg,475,"15 E 3rd St, Kansas City, MO 64106",64106,Bloom_Baking_Company,0,8162838437,,,vegetarian,breakfast,Breakfast,breakfast,gooey,flaky,warm,cinnamon,messy,soft,roll,,,,,,,,,,,,,,,,,,,,,,,,
476,Cinnamon_Roll,Cinnamon_Roll.jpg,Chubby_s/Cinnamon_Roll.jpg,476,"3756 Broadway Blvd, Kansas City, MO 64111",64111,Chubby_s,0,8169312482,,,vegetarian,breakfast,Breakfast,breakfast,butter,yeast,roll,egg,sugar,water,warm,cinnamon,flour,salt,milk,,,,,,,,,,,,,,,,,,,,
477,Cinnamon_Roll,Cinnamon_Roll.jpg,Crows_Coffee/Cinnamon_Roll.jpg,477,"304 E 51st St, Kansas City, MO 64112",64112,Crows_Coffee,0,8168207502,,,Vegetarian,Breakfast,Breakfast,breakfast,,icing,sweet,rolls,cinnamon,roll,,,,,,,,,,,,,,,,,,,,,,,,,
478,Cinnamon_Rolls,Cinnamon_Rolls.jpg,Chubby_s/Cinnamon_Rolls.jpg,478,"3756 Broadway Blvd, Kansas City, MO 64111",64111,Chubby_s,0,8169312482,,,vegetarian,breakfast,Breakfast,breakfast,butter,rolls,yeast,egg,sugar,water,warm,cinnamon,flour,salt,milk,,,,,,,,,,,,,,,,,,,,
479,Citrus_Crunch_Chicken_Taco,Citrus_Crunch_Chicken_Taco.jpg,Unforked/Citrus_Crunch_Chicken_Taco.jpg,479,"2450 Grand Blvd, Kansas City, MO 64108",64108,Unforked,0,8162833675,,,Meat,dinner,,taco,cheese,cilantro,guajillo,citrus,crunch,queso,taco,chicken,onions,,,,,,,,,,,,,,,,,,,,,,
480,Citrus_Crunch_Chicken_Taco_sub_lettuce_wrap,Citrus_Crunch_Chicken_Taco_sub_lettuce_wrap.jpg,Unforked/Citrus_Crunch_Chicken_Taco_sub_lettuce_wrap.jpg,480,"2450 Grand Blvd, Kansas City, MO 64108",64108,Unforked,0,8162833675,,,Other,dinner,,taco,guajillo,cilantro,sub,crunch,citrus,queso,taco,wrap,chicken,lettuce,substitute,,,,,,,,,,,,,,,,,,,,
481,Clam_Linguini,Clam_Linguini.jpg,Ragazza_Food_and_Wine/Clam_Linguini.jpg,481,"301 Westport Rd, Kansas City, MO 64111",64111,Ragazza_Food_and_Wine,0,8169604744,,,vegetarian,dinner,,seafood,diced,clam,linguini,pancetta,garlic,white,sauce,wine,,,,,,,,,,,,,,,,,,,,,,,
482,Classic_Benny_Eggs_Benedict,Classic_Benny_Eggs_Benedict.jpg,Beer_Kitchen/Classic_Benny_Eggs_Benedict.jpg,482,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,meat,breakfast,breakfast,breakfast,fried,muffin,ham,potato,benedict,egg,eggs,classic,benny,english,hollandaise,sauce,poached,,,,,,,,,,,,,,,,,,
483,Classic_Blue_Sandwich,Classic_Blue_Sandwich.jpg,The_Mixx/Classic_Blue_Sandwich.jpg,483,"4855 Main Street, Kansas City, MO 64112",64112,The_Mixx,0,8167562300,,,meat,Lunch,,sandwich,blue,sandwich,gluten,onion,classic,pasta,vegetable,bread,,,,,,,,,,,,,,,,,,,,,,,
484,Classic_Eggs_Benedict,Classic_Eggs_Benedict.jpg,Chubby_s/Classic_Eggs_Benedict.jpg,484,"3756 Broadway Blvd, Kansas City, MO 64111",64111,Chubby_s,0,8169312482,,,vegetarian,breakfast,breakfast,breakfast,butter,pepper,lemon,unsalted,classic,benedict,sauce,eggs,dijon,bacon,salt,muffins,juice,yolks,musturd,egg,,,,,,,,,,,,,,,
485,Classic_Sliders,Classic_Sliders.jpg,Yard_House/Classic_Sliders.jpg,485,"1300 Main St Ste 124.1A, Kansas City, MO 64105",64105,Yard_House,0,8165270952,,,meat,lunch,,burger,sauce,tartar,beef,classic,onions,fries,sliders,grilled,pickle,greasy,,,,,,,,,,,,,,,,,,,,,
486,Classic_Tomato_Bruschetta,Classic_Tomato_Bruschetta.jpg,Cooper_s_Hawk/Classic_Tomato_Bruschetta.jpg,486,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,vegetarian,Other,,appetizer,tomato,bruschetta,oil,classic,balsamic,glaze,arugula,olive,burrata,basil,,,,,,,,,,,,,,,,,,,,,
487,Classic_Tomato_Bruschetta1,Classic_Tomato_Bruschetta1.jpg,Cooper_s_Hawk/Classic_Tomato_Bruschetta1.jpg,487,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,vegetarian,Other,,appetizer,tomato,bruschetta,oil,classic,balsamic,glaze,arugula,olive,burrata,basil,bruschetta1,,,,,,,,,,,,,,,,,,,,
488,Club_Hoagie,Club_Hoagie.jpg,KC_Kitchen_and_Pizzeria/Club_Hoagie.jpg,488,"3906 Waddell Ave, Kansas City, MO 64111",64111,KC_Kitchen_and_Pizzeria,0,8165994533,,,Meat,lunch,,sandwich,turkey,ham,greens,club,bacon,hoagie,onions,mozzarella,tomatoes,italian,,,,,,,,,,,,,,,,,,,,,
489,Club_Sandwich,Club_Sandwich.jpg,Which_Wich/Club_Sandwich.jpg,489,"554 Westport Rd #100, Kansas City, MO 64111",64111,Which_Wich,1,8165695965,,,Meat,lunch,,sandwich,turkey,tomato,sandwich,ham,club,avocado,ranch,bacon,lettuce,,,,,,,,,,,,,,,,,,,,,,
490,Cobb_wrap,Cobb_wrap.jpg,The_Mixx/Cobb_wrap.jpg,490,"4855 Main Street, Kansas City, MO 64112",64112,The_Mixx,0,8167562300,,,Meat,lunch,,wrap,turkey,tomato,gargonzola,avocado,bacon,arugula,cobb,roasted,wrap,tortilla,,,,,,,,,,,,,,,,,,,,,
491,Coconut_Basil_Shrimp,Coconut_Basil_Shrimp.jpg,Domo/Coconut_Basil_Shrimp.jpg,491,"6322 Brookside Plaza, Kansas City, MO 64113",64113,Domo,0,8163336315,,,meat,,,seafood,basil,coconut,shrimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Coconut_Cream_Napoleon,Coconut_Cream_Napoleon.jpg,Black_Dirt/Coconut_Cream_Napoleon.jpg,492,"5070 Main St, Kansas City, MO 64112",64112,Black_Dirt,0,8162145947,,,vegetarian,dessert,dessert,dessert,coconut,couli,dessert,pastry,raspberry,napoleon,cream,,,,,,,,,,,,,,,,,,,,,,,,
493,Coffee_Cheesecake,Coffee_Cheesecake.jpg,McCormick_and_Schmick_s_Seafood_and_Steaks/Coffee_Cheesecake.jpg,493,"448 W 47th St, Kansas City, MO 64112",64112,McCormick_and_Schmick_s_Seafood_and_Steaks,0,8165316800,,,vegetarian,dessert,dessert,dessert,coffee,flavour,syrup,nuts,chocolate,cheesecake,cherry,mint,whipped,cream,,,,,,,,,,,,,,,,,,,,,
494,Combination_Pan_Fried_Noodles,Combination_Pan_Fried_Noodles.jpg,Sichuan_Dynasty/Combination_Pan_Fried_Noodles.jpg,494,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$13.99,12004033,meat,Dinner,asian,pasta,fried,combination,beef,vegetables,carrots,shrimp,lettuce,chicken,noodles,sauce,broccoli,pan,,,,,,,,,,,,,,,,,,,
495,Combination_Special_Pizza,Combination_Special_Pizza.jpg,Schlotzsky_s/Combination_Special_Pizza.jpg,495,"12221 S Strangline Rd Olathe KS, 66062",66062,Schlotzsky_s,1,9137822867,$6.50,11100418,Meat,Lunch,Italian,Pizza,cheese,olives,combination,portobella,onions,mushrooms,pepperoni,parmesan,peppers,pesto,sauce,mozzarella,tomatoes,pizza,,,,,,,,,,,,,,,,,
496,Combination_Tofu_in_Casserole,Combination_Tofu_in_Casserole.jpg,Sichuan_Dynasty/Combination_Tofu_in_Casserole.jpg,496,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$13.99,12003438,vegan,Dinner,asian,soup,combination,broth,tofu,lettuce,green,noodles,onions,casserole,,,,,,,,,,,,,,,,,,,,,,,
497,Combo_Fajitas,Combo_Fajitas.jpg,Chuy_s/Combo_Fajitas.jpg,497,"209 W 46th Terrace, Kansas City, MO 64112",64112,Chuy_s,0,8169312783,,,Meat,dinner,,meats,cheese,tortillas,mexican,guacamole,refried,pico,beefchicken,flour,de,handmade,lettuce,sour,beans,combo,peppers,rice,onions,fajitas,gallo,cream,,,,,,,,,,,
498,Combo_Fried_Rice,Combo_Fried_Rice.jpg,China_Feast/Combo_Fried_Rice.jpg,498,"200 Linwood Blvd, Kansas City, MO 64111",64111,China_Feast,0,8165618886,,,meat,dinner,,rice dish,rice,meat,peas,shrimp,combo,savory,fried,egg,,,,,,,,,,,,,,,,,,,,,,,
499,Combo_Plate_sliced_brisket_and_smoked_chicken,Combo_Plate_sliced_brisket_and_smoked_chicken.jpg,Q39_Midtown/Combo_Plate_sliced_brisket_and_smoked_chicken.jpg,499,"1000 W 39th St, Kansas City, MO 64111",64111,Q39_Midtown,0,8162553753,$17.00,,Meat,Dinner,American,meats,plate,carrots,beef,jalapeno,slaw,corn,brisket,sliced,combo,chicken,smoked,bread,,,,,,,,,,,,,,,,,,,
500,Combo_Slice,Combo_Slice.jpg,Joe_s_Pizza_Buy_the_Slice/Combo_Slice.jpg,500,"4058 Pennsylvania Ave, Kansas City, MO 64111",64111,Joe_s_Pizza_Buy_the_Slice,0,8169312777,,,Meat,lunch,,pizza,tomato,sausage,slice,beef,onion,pepper,mushrooms,black,pepperoni,combo,olive,green,ground,italian,,,,,,,,,,,,,,,,,
501,Combo_Slice,Combo_Slice2.jpg,Joe_s_Pizza_Buy_the_Slice/Combo_Slice2.jpg,501,"4058 Pennsylvania Ave, Kansas City, MO 64111",64111,Joe_s_Pizza_Buy_the_Slice,0,8169312777,,,Meat,lunch,,pizza,tomato,sausage,slice,beef,onion,pepper,mushrooms,black,pepperoni,combo,olive,green,ground,italian,,,,,,,,,,,,,,,,,
502,Cookie_Madness_Bubble_Waffle,Cookie_Madness_Bubble_Waffle.jpg,The_Waffle_Bar/Cookie_Madness_Bubble_Waffle.jpg,502,"4745 Central St, Kansas City, MO 64112",64112,The_Waffle_Bar,0,8168238348,,,,dessert,dessert,dessert,cookies,oreo,madness,icing,waffle,cookie,white,chocolate,bubble,,,,,,,,,,,,,,,,,,,,,,
503,Cookie_Madness_Bubble_Waffle1,Cookie_Madness_Bubble_Waffle1.jpg,The_Waffle_Bar/Cookie_Madness_Bubble_Waffle1.jpg,503,"4745 Central St, Kansas City, MO 64112",64112,The_Waffle_Bar,0,8168238348,,,,dessert,dessert,dessert,cookies,oreo,madness,icing,waffle1,chocolate,cookie,chooclate,white,waffle,bubble,,,,,,,,,,,,,,,,,,,,
504,Cookie_of_the_Day_Lavendar,Cookie_of_the_Day_Lavendar.jpg,Eden_Alley_Vegetaria/Cookie_of_the_Day_Lavendar.jpg,504,"707 W 47th St, Kansas City, MO 64112",64112,Eden_Alley_Vegetaria,0,8165615415,,,vegetarian,dessert,dessert,dessert,brown,oil,flour,lavender,sugar,lavendar,cookie,of,cocconut,chocolate,chips,day,,,,,,,,,,,,,,,,,,,
505,Cookies_and_Cream_Ice_Cream_Waffle_Donut,Cookies_and_Cream_Ice_Cream_Waffle_Donut.jpg,The_Waffle_Bar/Cookies_and_Cream_Ice_Cream_Waffle_Donut.jpg,505,"4745 Central St, Kansas City, MO 64112",64112,The_Waffle_Bar,0,8168238348,,,,dessert,dessert,dessert,donut,cookies,waffle,ice,cream,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Cooper_s_Hawk_Calamari,Cooper_s_Hawk_Calamari.jpg,Cooper_s_Hawk/Cooper_s_Hawk_Calamari.jpg,506,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,Meat,Other,,appetizer,cilantro,cooper,sweet,glaze,sesame,aioli,ponzu,chili,hawk,calamari,sriracha,,,,,,,,,,,,,,,,,,,,
507,Cooper_s_Hawk_Calamari1,Cooper_s_Hawk_Calamari1.jpg,Cooper_s_Hawk/Cooper_s_Hawk_Calamari1.jpg,507,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,Meat,Other,,appetizer,cilantro,cooper,calamari1,sweet,glaze,sesame,aioli,ponzu,chili,hawk,calamari,sriracha,,,,,,,,,,,,,,,,,,,
508,Cooper_s_Hawk_Chocolate_Cake,Cooper_s_Hawk_Chocolate_Cake.jpg,Cooper_s_Hawk/Cooper_s_Hawk_Chocolate_Cake.jpg,508,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,vegetarian,dessert,dessert,dessert,valrhona,cooper,vanilla,ganache,ice,chocolate,hazelnut,cake,hawk,cream,,,,,,,,,,,,,,,,,,,,,
509,Cordon_Bleu_Sandwich,Cordon_Bleu_Sandwich.jpg,Which_Wich/Cordon_Bleu_Sandwich.jpg,509,"554 Westport Rd #100, Kansas City, MO 64111",64111,Which_Wich,1,8165695965,,,Meat,lunch,,sandwich,tomato,cordon,sandwich,ham,island,thousand,lettuce,bleu,swiss,chicken,,,,,,,,,,,,,,,,,,,,,
510,Corn_Beef_Hash,Corn_Beef_Hash.jpg,Brady_s_Public_House/Corn_Beef_Hash.jpg,510,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$12.00,,Meat,Breakfast,English,Breakfast,toast,hash,beef,potatoes,corn,onions,eggs,bread,,,,,,,,,,,,,,,,,,,,,,,
511,Corned_Beef_Hash,Corned_Beef_Hash.jpg,The_Farmhouse/Corned_Beef_Hash.jpg,511,"4686 Broadway St Kansas City, MO 64112",64105,The_Farmhouse,0,8165696032,,,meat,Other,breakfast,breakfast,cheese,hash,beef,onion,potato,buttonwood,eggs,cheddar,squash,corned,farms,peppers,,,,,,,,,,,,,,,,,,,
512,Corned_Beef_Hash,Corned_Beef_Hash1.jpg,The_Farmhouse/Corned_Beef_Hash1.jpg,512,"4686 Broadway St Kansas City, MO 64112",64105,The_Farmhouse,0,8165696032,,,meat,Breakfast,breakfast,breakfast,cheese,hash,beef,eggs,paprika,hearty,peppers,corned,,,,,,,,,,,,,,,,,,,,,,,
513,Corned_Beef_Reuben_Sandwich,Pastrami_Reuben_Sandwich.jpg,Schlotzsky_s/Pastrami_Reuben_Sandwich.jpg,513,"12221 S Strangline Rd Olathe KS, 66062",66062,Schlotzsky_s,1,9137822867,$5.50,11100365,meat,lunch,american,sandwich,,cheese,dijon,mustard,beef,angus,corn,rye,reuben,corned,buns,sandwich,dressing,,,,,,,,,,,,,,,,,,
514,Corned_Beef_Sandwich,Corned_Beef_Sandwich.jpg,Which_Wich/Corned_Beef_Sandwich.jpg,514,"554 Westport Rd #100, Kansas City, MO 64111",64111,Which_Wich,1,8165695965,,,Meat,lunch,,sandwich,sandwich,mustard,beef,slaw,corned,swiss,pickles,cole,,,,,,,,,,,,,,,,,,,,,,,
515,Corned_Beef_Short_Rib_Reuben,Corned_Beef_Short_Rib_Reuben.jpg,The_Brass_Onion/Corned_Beef_Short_Rib_Reuben.jpg,515,"5501 W 135th St, Overland Park, KS 66224",66224,The_Brass_Onion,0,9138515940,,,Meat,dinner,,sandwich,brined,short,beef,house,rye,reuben,corned,island,swiss,braised,cabbage,rib,red,1000,,,,,,,,,,,,,,,,,
516,Corned_Beef_Short_Rib_Reuben1,Corned_Beef_Short_Rib_Reuben1.jpg,The_Brass_Onion/Corned_Beef_Short_Rib_Reuben1.jpg,516,"5501 W 135th St, Overland Park, KS 66224",66224,The_Brass_Onion,0,9138515940,,,Meat,dinner,,sandwich,brined,short,beef,house,rye,corned,reuben1,island,swiss,braised,cabbage,rib,red,1000,,,,,,,,,,,,,,,,,
517,Cornmeal_Fried_Catfish,Cornmeal_Fried_Catfish1.jpg,Gram and Dun/Cornmeal_Fried_Catfish1.jpg,517,"600 Ward Pkwy Kansas City, MO 64112",64112,Gram and Dun,0,8163892900,,,Meat,dessert,,seafood,caraway,slaw,fried,aioli,spicy,catfish,grits,cornmeal,cabbage,smoked,red,,,,,,,,,,,,,,,,,,,,
518,Country_Benedict,Country_Benedict.jpg,Le_Peep/Country_Benedict.jpg,518,"7218 College Blvd. Overland Park KS, 66210",66210,Le_Peep,1,9136619441,$9.79,11082093,Meat,Breakfast,breakfast,breakfast,hash,ham,benedict,sauce,eggs,country,green,fruits,grilled,browns,hollandaise,onions,,,,,,,,,,,,,,,,,,,
519,Country_Benedict,Country_Benedict1.jpg,Le_Peep/Country_Benedict1.jpg,519,"7218 College Blvd. Overland Park KS, 66210",66210,Le_Peep,1,9136619441,$9.79,11082093,Meat,Breakfast,breakfast,breakfast,hash,ham,benedict,sauce,eggs,english,country,muffins,green,fruits,grilled,browns,hollandaise,onions,,,,,,,,,,,,,,,,,
520,Country_Benny_Eggs_Benedict,Country_Benny_Eggs_Benedict.jpg,Beer_Kitchen/Country_Benny_Eggs_Benedict.jpg,520,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,meat,breakfast,breakfast,breakfast,pork,fried,poached,potato,benedict,egg,biscuit,benny,belly,country,braised,hollandaise,sauce,eggs,,,,,,,,,,,,,,,,,
521,Country_Benny_Eggs_Benedict,Country_Benny_Eggs_Benedict1.jpg,Beer_Kitchen/Country_Benny_Eggs_Benedict1.jpg,521,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,meat,breakfast,breakfast,breakfast,pork,fried,poached,potato,benedict,egg,biscuit,benny,belly,country,braised,hollandaise,sauce,eggs,,,,,,,,,,,,,,,,,
522,Country_Benny_Eggs_Benedict_Sub_Waffle,Country_Benny_Eggs_Benedict_Sub_Waffle.jpg,Beer_Kitchen/Country_Benny_Eggs_Benedict_Sub_Waffle.jpg,522,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,meat,breakfast,breakfast,breakfast,pork,fried,poached,potato,benedict,egg,eggs,benny,waffle,belly,country,braised,hollandaise,sauce,sub,,,,,,,,,,,,,,,,
523,Country_Fried_Steak,Country_Fried_Steak.jpg,Le_Peep/Country_Fried_Steak.jpg,523,"7218 College Blvd. Overland Park KS, 66210",66210,Le_Peep,1,9136619441,$10.99,11082076,meat,lunch,American,meats,gravy,fried,sausage,potatoes,eggs,breaded,paprika,country,green,english,muffins,chicken,steak,onions,,,,,,,,,,,,,,,,,
