Number,Description,File_name,foodPic,ID,Location,Zipcode,Restaurant_Name,Offer_Delivery,Phone,Price,EatStreetAPIKey,Dietary,Type_of_meal,Genre,Class1,Class2,Class3,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37,Item38,Item39,Item40
459,Chocolate_Decadence_Cake,Chocolate_Decadence_Cake.jpg,Osteria_Il_Centro/Chocolate_Decadence_Cake.jpg,459,"5101 Main St Kansas City, MO 64112",64112,Osteria_Il_Centro,0,8165612369,,,vegetarian,dessert,,,,,gelato,cake,vanilla,chocolate,decadence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Chocolate_Decadence_Cake,Chocolate_Decadence_Cake1.jpg,Osteria_Il_Centro/Chocolate_Decadence_Cake1.jpg,460,"5101 Main St Kansas City, MO 64112",64112,Osteria_Il_Centro,0,8165612369,,,vegetarian,Other,,,,,gelato,cake,vanilla,chocolate,decadence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Chocolate_Pecan_Torte,Chocolate_Pecan_Torte.jpg,Andre_s_Confiserie_Suisse/Chocolate_Pecan_Torte.jpg,461,"5018 Main St, Kansas City, MO 64112",64112,Andre_s_Confiserie_Suisse,0,8165613440,,,,,,,,,wedge,slice,nuts,chocolate,pecan,cake,torte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Chocolate_Vanilla_Cucpake,Chocolate_Vanilla_Cucpake.jpg,Bloom_Baking_Company/Chocolate_Vanilla_Cucpake.jpg,462,"15 E 3rd St, Kansas City, MO 64106",64106,Bloom_Baking_Company,0,8162838437,,,,,,,,,cucpake,sweet,vanilla,cupcake,item,pastry,chocolate,baked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Chocolate_Waffle_Pop,Chocolate_Waffle_Pop.jpg,The_Waffle_Bar/Chocolate_Waffle_Pop.jpg,463,"4745 Central St, Kansas City, MO 64112",64112,The_Waffle_Bar,0,8168238348,,,,,,,,,cream,icing,brownie,pop,waffle,ice,chocolate,stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Chop_Chop_Salad,Chop_Chop_Salad.jpg,The_Oliver/Chop_Chop_Salad.jpg,464,"4807 Jefferson St, Kansas City, MO 64112",64112,The_Oliver,0,8163842500,,,,,,,,,cheese,salad,spinach,healthy,chop,lettuce,beans,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Chorizo_Breakfast_Burrito,Chorizo_Breakfast_Burrito.jpg,Crows_Coffee/Chorizo_Breakfast_Burrito.jpg,465,"304 E 51st St, Kansas City, MO 64112",64112,Crows_Coffee,0,8168207502,$6.25,,Meat,Breakfast,"Mexican, Breakfast",burrito,breakfast,,cheese,burrito,eggs,chorizo,breakfast,tortilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Chorizo_Rojo,Chorizo_Rojo.jpg,Wiener_Kitchen/Chorizo_Rojo.jpg,466,"9645 W 87th St Overland Park, KS 66212",66212,Wiener_Kitchen,0,9132968023,$8.00,,meat,"breakfast, lunch",German,hot dog,,,sausage,rojo,eggs,cheddar,cilantro,jalapenos,aioli,bun,chorizo,tortilla,onions,relish,lime,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Chorizo_Rojo,Chorizo_Rojo1.jpg,Wiener_Kitchen/Chorizo_Rojo1.jpg,467,"9645 W 87th St Overland Park, KS 66212",66212,Wiener_Kitchen,0,9132968023,$8.00,,meat,"breakfast, lunch",German,hot dog,,,sausage,rojo,eggs,cheddar,cilantro,jalapenos,aioli,bun,chorizo,tortilla,onions,relish,lime,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Chorizo_Rojo,Chorizo_Rojo2.jpg,Wiener_Kitchen/Chorizo_Rojo2.jpg,468,"9645 W 87th St Overland Park, KS 66212",66212,Wiener_Kitchen,0,9132968023,$8.00,,meat,"breakfast, lunch",German,hot dog,,,sausage,rojo,eggs,cheddar,cilantro,jalapenos,aioli,bun,chorizo,tortilla,onions,relish,lime,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Chung_King_Spicy_Chicken,Chung_King_Spicy_Chicken.jpg,Sichuan_Dynasty/Chung_King_Spicy_Chicken.jpg,469,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$11.99,12003512,meat,Dinner,asian,meat,,,king,spicy,chung,peppers,chicken,fried,onions,chili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Chung_King_Spicy_Chicken,Chung_King_Spicy_Chicken1.jpg,Sichuan_Dynasty/Chung_King_Spicy_Chicken1.jpg,470,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$11.99,12003512,meat,Dinner,asian,meat,,,king,spicy,chung,peppers,chicken,fried,onions,chili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Chung_King_Spicy_Shrimp,Chun_King_Spicy_Shrimp.jpg,Sichuan_Dynasty/Chun_King_Spicy_Shrimp.jpg,471,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$13.99,12003582,meat,Dinner,asian,meat,,,king,spicy,chung,shrimp,peppers,chili,fried,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Chupa_Cobb_Rah,Chupa_Cobb_Rah.jpg,TiKiTaco/Chupa_Cobb_Rah.jpg,472,"1710 W 39th St, Kansas City, MO 64111",64111,TiKiTaco,0,8164893686,,,,lunch,,,,,chupa,corn,cobb,rah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Chuychanga,Chuychanga.jpg,Chuy_s/Chuychanga.jpg,473,"209 W 46th Terrace, Kansas City, MO 64112",64112,Chuy_s,0,8169312783,,,Meat,lunch,,,,,cheese,cilantro,fried,chuychanga,ed,flour,chiles,sour,green,oven,roasted,chicken,tortilla,sauce,garnished,cream,,,,,,,,,,,,,,,,,,,,,,,,
474,Cilantro_Ranch_Chicken_Sandwich,Cilantro_Ranch_Chicken_Sandwich.jpg,Cooper_s_Hawk/Cilantro_Ranch_Chicken_Sandwich.jpg,474,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,Meat,lunch,,,,,cilantro,sandwich,avacado,cheddar,ranch,avocado,seasoned,mayonnaise,smoked,bason,chicken,applewood,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Cinnamon_roll,Cinnamon_roll.jpg,Bloom_Baking_Company/Cinnamon_roll.jpg,475,"15 E 3rd St, Kansas City, MO 64106",64106,Bloom_Baking_Company,0,8162838437,,,,,,,,,gooey,flaky,warm,cinnamon,soft,roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Cinnamon_Roll,Cinnamon_Roll.jpg,Chubby_s/Cinnamon_Roll.jpg,476,"3756 Broadway Blvd, Kansas City, MO 64111",64111,Chubby_s,0,8169312482,,,vegetarian,breakfast,,,,,butter,yeast,buttered,eggs,milk,sugar,water,warm,cinnamon,flour,roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Cinnamon_Roll,Cinnamon_Roll.jpg,Crows_Coffee/Cinnamon_Roll.jpg,477,"304 E 51st St, Kansas City, MO 64112",64112,Crows_Coffee,0,8168207502,,,Vegetarian,Breakfast,Breakfast,breakfast,bakery,,sweet,cinnamon,icing,roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Cinnamon_Rolls,Cinnamon_Rolls.jpg,Chubby_s/Cinnamon_Rolls.jpg,478,"3756 Broadway Blvd, Kansas City, MO 64111",64111,Chubby_s,0,8169312482,,,vegetarian,breakfast,,,,,butter,rolls,yeast,buttered,eggs,milk,sugar,water,warm,cinnamon,flour,roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Citrus_Crunch_Chicken_Taco,Citrus_Crunch_Chicken_Taco.jpg,Unforked/Citrus_Crunch_Chicken_Taco.jpg,479,"2450 Grand Blvd, Kansas City, MO 64108",64108,Unforked,0,8162833675,,,Meat,lunch,,,,,cheese,cilantro,crunch,citrus,crunchy,queso,taco,chicken,onions,guajillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Citrus_Crunch_Chicken_Taco_sub_lettuce_wrap,Citrus_Crunch_Chicken_Taco_sub_lettuce_wrap.jpg,Unforked/Citrus_Crunch_Chicken_Taco_sub_lettuce_wrap.jpg,480,"2450 Grand Blvd, Kansas City, MO 64108",64108,Unforked,0,8162833675,,,Other,breakfast,,,,,guajillo,cilantro,sub,crunch,citrus,crunchy,queso,taco,wrap,chicken,lettuce,substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Clam_Linguini,Clam_Linguini.jpg,Ragazza_Food_and_Wine/Clam_Linguini.jpg,481,"301 Westport Rd, Kansas City, MO 64111",64111,Ragazza_Food_and_Wine,0,8169604744,,,vegetarian,breakfast,,,,,diced,clams,linguini,pancetta,clam,garlic,white,sauce,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Classic_Benny_Eggs_Benedict,Classic_Benny_Eggs_Benedict.jpg,Beer_Kitchen/Classic_Benny_Eggs_Benedict.jpg,482,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,meat,breakfast,breakfast,breakfast,,,hollandaise,ham,classic,benedict,potatoes,eggs,english,benny,muffin,fried,sauce,poached,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Classic_Blue_Sandwich,Classic_Blue_Sandwich.jpg,The_Mixx/Classic_Blue_Sandwich.jpg,483,"4855 Main Street, Kansas City, MO 64112",64112,The_Mixx,0,8167562300,,,,,,,,,blue,sandwich,gluten,classic,vegetables,pasta,onions,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Classic_Eggs_Benedict,Classic_Eggs_Benedict.jpg,Chubby_s/Classic_Eggs_Benedict.jpg,484,"3756 Broadway Blvd, Kansas City, MO 64111",64111,Chubby_s,0,8169312482,,,vegetarian,breakfast,,,,,butter,lemon,mustard,unsalted,classic,benedict,buttered,eggs,dijon,bacon,juice,yolks,peppers,musturd,sauce,muffin,,,,,,,,,,,,,,,,,,,,,,,,
485,Classic_Sliders,Classic_Sliders.jpg,Yard_House/Classic_Sliders.jpg,485,"1300 Main St Ste 124.1A, Kansas City, MO 64105",64105,Yard_House,0,8165270952,,,,,,,,,tartar,beef,classic,onions,fries,sliders,grilled,pickles,sauce,greasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Classic_Tomato_Bruschetta,Classic_Tomato_Bruschetta.jpg,Cooper_s_Hawk/Classic_Tomato_Bruschetta.jpg,486,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,vegetarian,Other,,,Domo,,tomato,bruschetta,oil,classic,balsamic,glaze,arugula,basil,burrata,olive,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Classic_Tomato_Bruschetta1,Classic_Tomato_Bruschetta1.jpg,Cooper_s_Hawk/Classic_Tomato_Bruschetta1.jpg,487,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,vegetarian,Other,,,Donutology,,tomato,bruschetta,oil,classic,balsamic,glaze,arugula,basil,burrata,olive,bruschetta1,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Club_Hoagie,Club_Hoagie.jpg,KC_Kitchen_and_Pizzeria/Club_Hoagie.jpg,488,"3906 Waddell Ave, Kansas City, MO 64111",64111,KC_Kitchen_and_Pizzeria,0,8165994533,,,Meat,Other,,,,,turkey,ham,greens,club,bacon,hoagie,onions,mozzarella,tomatoes,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Club_Sandwich,Club_Sandwich.jpg,Which_Wich/Club_Sandwich.jpg,489,"554 Westport Rd #100, Kansas City, MO 64111",64111,Which_Wich,1,8165695965,,,Meat,lunch,,,,,turkey,sandwich,ham,club,bacon,ranch,avocado,lettuce,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Cobb_wrap,Cobb_wrap.jpg,The_Mixx/Cobb_wrap.jpg,490,"4855 Main Street, Kansas City, MO 64112",64112,The_Mixx,0,8167562300,,,Meat,lunch,,,,,turkey,avocado,bacon,arugula,gorgonzola,cobb,roasted,wrap,tortilla,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Coconut_Basil_Shrimp,Coconut_Basil_Shrimp.jpg,Domo/Coconut_Basil_Shrimp.jpg,491,"6322 Brookside Plaza, Kansas City, MO 64113",64113,Domo,0,8163336315,,,,,,,,,coconut,sushi,shrimp,seaweed,basil,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Coconut_Cream_Napoleon,Coconut_Cream_Napoleon.jpg,Black_Dirt/Coconut_Cream_Napoleon.jpg,492,"5070 Main St, Kansas City, MO 64112",64112,Black_Dirt,0,8162145947,,,vegetarian,dessert,,,,,coconut,couli,dessert,pastry,raspberry,napoleon,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Coffee_Cheesecake,Coffee_Cheesecake.jpg,McCormick_and_Schmick_s_Seafood_and_Steaks/Coffee_Cheesecake.jpg,493,"448 W 47th St, Kansas City, MO 64112",64112,McCormick_and_Schmick_s_Seafood_and_Steaks,0,8165316800,,,Other,,,,,,coffee,cheesecake,mint,nuts,chocolate,cherry,syrup,whipped,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Combination_Pan_Fried_Noodles,Combination_Pan_Fried_Noodles.jpg,Sichuan_Dynasty/Combination_Pan_Fried_Noodles.jpg,494,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$13.99,12004033,meat,Dinner,asian,pasta,,,noodles,combination,beef,vegetables,carrots,shrimp,lettuce,chicken,fried,sauce,broccoli,pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Combination_Special_Pizza,Combination_Special_Pizza.jpg,Schlotzsky_s/Combination_Special_Pizza.jpg,495,"12221 S Strangline Rd Olathe KS, 66062",66062,Schlotzsky_s,1,9137822867,$6.50,11100418,Meat,lunch,Italian,Pizza,,,cheese,olives,combination,portobello,sauce,mushrooms,pepperoni,parmesan,peppers,pesto,onions,mozzarella,tomatoes,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Combination_Tofu_in_Casserole,Combination_Tofu_in_Casserole.jpg,Sichuan_Dynasty/Combination_Tofu_in_Casserole.jpg,496,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$13.99,12003438,vegan,Dinner,asian,soup,substitute,,combination,broth,tofu,lettuce,green,noodles,onions,casserole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Combo_Fajitas,Combo_Fajitas.jpg,Chuy_s/Combo_Fajitas.jpg,497,"209 W 46th Terrace, Kansas City, MO 64112",64112,Chuy_s,0,8169312783,,,Meat,dinner,,,,,cheese,mexican,guacamole,fajitas,beefchicken,lettuce,refried,onions,cream,beef,handmade,sour,combo,peppers,rice,gallo,flour,tortillas,fajita,pico,beans,tortilla,,,,,,,,,,,,,,,,,,
498,Combo_Fried_Rice,Combo_Fried_Rice.jpg,China_Feast/Combo_Fried_Rice.jpg,498,"200 Linwood Blvd, Kansas City, MO 64111",64111,China_Feast,0,8165618886,,,,,,,,,rice,meat,eggs,peas,shrimp,combo,savory,fried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Combo_Plate_sliced_brisket_and_smoked_chicken,Combo_Plate_sliced_brisket_and_smoked_chicken.jpg,Q39_Midtown/Combo_Plate_sliced_brisket_and_smoked_chicken.jpg,499,"1000 W 39th St, Kansas City, MO 64111",64111,Q39_Midtown,0,8162553753,$17.00,,Meat,Dinner,American,meats,,,sliced,brisket,beef,plate,slaw,corn,carrots,jalapenos,slice,combo,chicken,smoked,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Combo_Slice,Combo_Slice.jpg,Joe_s_Pizza_Buy_the_Slice/Combo_Slice.jpg,500,"4058 Pennsylvania Ave, Kansas City, MO 64111",64111,Joe_s_Pizza_Buy_the_Slice,0,8169312777,,,Meat,lunch,,,,,sausage,slice,beef,scimecas,mushrooms,olive,black,pepperoni,combo,peppers,green,italian,onions,tomatoes,ground,,,,,,,,,,,,,,,,,,,,,,,,,
501,Combo_Slice,Combo_Slice2.jpg,Joe_s_Pizza_Buy_the_Slice/Combo_Slice2.jpg,501,"4058 Pennsylvania Ave, Kansas City, MO 64111",64111,Joe_s_Pizza_Buy_the_Slice,0,8169312777,,,Meat,lunch,,,,,sausage,slice,beef,scimecas,mushrooms,olive,black,pepperoni,combo,peppers,green,italian,onions,tomatoes,ground,,,,,,,,,,,,,,,,,,,,,,,,,
502,Cookie_Madness_Bubble_Waffle,Cookie_Madness_Bubble_Waffle.jpg,The_Waffle_Bar/Cookie_Madness_Bubble_Waffle.jpg,502,"4745 Central St, Kansas City, MO 64112",64112,The_Waffle_Bar,0,8168238348,,,,dessert,,,,,cookies,oreo,madness,icing,waffle,cookie,white,chocolate,bubble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Cookie_Madness_Bubble_Waffle1,Cookie_Madness_Bubble_Waffle1.jpg,The_Waffle_Bar/Cookie_Madness_Bubble_Waffle1.jpg,503,"4745 Central St, Kansas City, MO 64112",64112,The_Waffle_Bar,0,8168238348,,,,dessert,,,,,cookies,oreo,madness,icing,waffle1,chocolate,cookie,chooclate,white,waffle,bubble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Cookie_of_the_Day_Lavendar,Cookie_of_the_Day_Lavendar.jpg,Eden_Alley_Vegetaria/Cookie_of_the_Day_Lavendar.jpg,504,"707 W 47th St, Kansas City, MO 64112",64112,Eden_Alley_Vegetaria,0,8165615415,,,vegetarian,dessert,,,,,brown,cookies,oil,flour,lavender,sugar,lavendar,cookie,of,cocconut,chocolate,chips,day,coconut,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Cookies_and_Cream_Ice_Cream_Waffle_Donut,Cookies_and_Cream_Ice_Cream_Waffle_Donut.jpg,The_Waffle_Bar/Cookies_and_Cream_Ice_Cream_Waffle_Donut.jpg,505,"4745 Central St, Kansas City, MO 64112",64112,The_Waffle_Bar,0,8168238348,,,,dessert,,,,,donut,cookies,cream,ice,waffle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Cooper_s_Hawk_Calamari,Cooper_s_Hawk_Calamari.jpg,Cooper_s_Hawk/Cooper_s_Hawk_Calamari.jpg,506,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,Meat,Other,,,The_Drunken_Worm,,cilantro,cooper,sweet,glaze,sesame,aioli,ponzu,chili,hawk,calamari,sriracha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Cooper_s_Hawk_Calamari1,Cooper_s_Hawk_Calamari1.jpg,Cooper_s_Hawk/Cooper_s_Hawk_Calamari1.jpg,507,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,Meat,Other,,,Eden_Alley_Vegetaria,,cilantro,cooper,calamari1,sweet,glaze,sesame,aioli,ponzu,chili,hawk,calamari,sriracha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Cooper_s_Hawk_Chocolate_Cake,Cooper_s_Hawk_Chocolate_Cake.jpg,Cooper_s_Hawk/Cooper_s_Hawk_Chocolate_Cake.jpg,508,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,vegetarian,dessert,,,El_Fogon,,valrhona,cooper,vanilla,ganache,ice,chocolate,hazelnut,cake,hawk,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Cordon_Bleu_Sandwich,Cordon_Bleu_Sandwich.jpg,Which_Wich/Cordon_Bleu_Sandwich.jpg,509,"554 Westport Rd #100, Kansas City, MO 64111",64111,Which_Wich,1,8165695965,,,Meat,lunch,,,,,blue,cordon,sandwich,ham,thousand,lettuce,bleu,swiss,chicken,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Corn_Beef_Hash,Corn_Beef_Hash.jpg,Brady_s_Public_House/Corn_Beef_Hash.jpg,510,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$12.00,,Meat,Breakfast,English,Breakfast,,,hash,beef,potatoes,eggs,toasted,onions,corn,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Corned_Beef_Reuben_Sandwich,Pastrami_Reuben_Sandwich.jpg,Schlotzsky_s/Pastrami_Reuben_Sandwich.jpg,511,"12221 S Strangline Rd Olathe KS, 66062",66062,Schlotzsky_s,1,9137822867,$5.50,11100365,meat,lunch,american,sandwich,,,cheese,rye,mustard,beef,angus,corn,dijon,reuben,corned,sandwich,bun,dressing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Corned_Beef_Hash,Corned_Beef_Hash.jpg,The_Farmhouse/Corned_Beef_Hash.jpg,512,"4686 Broadway St Kansas City, MO 64112",64105,The_Farmhouse,0,8165696032,,,meat,breakfast,,,,,cheese,hash,beef,buttonwood,eggs,cheddar,squash,corned,farms,potatoes,peppers,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Corned_Beef_Hash,Corned_Beef_Hash1.jpg,The_Farmhouse/Corned_Beef_Hash1.jpg,513,"4686 Broadway St Kansas City, MO 64112",64105,The_Farmhouse,0,8165696032,,,,,,,,,cheese,hash,beef,eggs,paprika,hearty,peppers,corned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Corned_Beef_Sandwich,Corned_Beef_Sandwich.jpg,Which_Wich/Corned_Beef_Sandwich.jpg,514,"554 Westport Rd #100, Kansas City, MO 64111",64111,Which_Wich,1,8165695965,,,Meat,lunch,,,,,sandwich,mustard,beef,slaw,corned,swiss,pickles,cole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Corned_Beef_Short_Rib_Reuben,Corned_Beef_Short_Rib_Reuben.jpg,The_Brass_Onion/Corned_Beef_Short_Rib_Reuben.jpg,515,"5501 W 135th St, Overland Park, KS 66224",66224,The_Brass_Onion,0,9138515940,,,Meat,dinner,,,,,brined,short,beef,house,ribs,rye,reuben,corned,island,swiss,braised,cabbage,rib,red,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Corned_Beef_Short_Rib_Reuben1,Corned_Beef_Short_Rib_Reuben1.jpg,The_Brass_Onion/Corned_Beef_Short_Rib_Reuben1.jpg,516,"5501 W 135th St, Overland Park, KS 66224",66224,The_Brass_Onion,0,9138515940,,,Meat,Other,,,,,brined,short,beef,house,ribs,rye,reuben,corned,reuben1,island,swiss,braised,cabbage,rib,red,,,,,,,,,,,,,,,,,,,,,,,,,
517,Cornmeal_Fried_Catfish,Cornmeal_Fried_Catfish1.jpg,Gram and Dun/Cornmeal_Fried_Catfish1.jpg,517,"600 Ward Pkwy Kansas City, MO 64112",64112,Gram and Dun,0,8163892900,,,Meat,lunch,,,,,spicy,slaw,aioli,caraway,catfish,grits,cornmeal,cabbage,fried,red,smoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Country_Benedict,Country_Benedict.jpg,Le_Peep/Country_Benedict.jpg,518,"7218 College Blvd. Overland Park KS, 66210",66210,Le_Peep,1,9136619441,$9.79,11082093,Meat,Breakfast,breakfast,breakfast,,,hash,ham,benedict,country,eggs,fruit,green,grilled,browns,hollandaise,onions,sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Country_Benedict,Country_Benedict1.jpg,Le_Peep/Country_Benedict1.jpg,519,"7218 College Blvd. Overland Park KS, 66210",66210,Le_Peep,1,9136619441,$9.79,11082093,Meat,breakfast,breakfast,breakfast,,,browns,hash,ham,benedict,country,eggs,fruit,green,english,grilled,muffins,hollandaise,onions,muffin,sauce,,,,,,,,,,,,,,,,,,,,,,,,,
520,Country_Benny_Eggs_Benedict,Country_Benny_Eggs_Benedict.jpg,Beer_Kitchen/Country_Benny_Eggs_Benedict.jpg,520,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,meat,breakfast,breakfast,breakfast,,,pork,hollandaise,poached,benedict,potatoes,biscuit,benny,belly,country,braised,fried,biscuits,eggs,sauce,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Country_Benny_Eggs_Benedict,Country_Benny_Eggs_Benedict1.jpg,Beer_Kitchen/Country_Benny_Eggs_Benedict1.jpg,521,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,meat,breakfast,breakfast,breakfast,,,pork,hollandaise,poached,benedict,potatoes,biscuit,benny,belly,country,braised,fried,biscuits,eggs,sauce,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Country_Benny_Eggs_Benedict_Sub_Waffle,Country_Benny_Eggs_Benedict_Sub_Waffle.jpg,Beer_Kitchen/Country_Benny_Eggs_Benedict_Sub_Waffle.jpg,522,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,meat,breakfast,breakfast,breakfast,,,pork,hollandaise,poached,benedict,potatoes,eggs,benny,waffle,belly,country,braised,fried,sauce,substitute,sub,,,,,,,,,,,,,,,,,,,,,,,,,
523,Country_Fried_Steak,Country_Fried_Steak.jpg,Le_Peep/Country_Fried_Steak.jpg,523,"7218 College Blvd. Overland Park KS, 66210",66210,Le_Peep,1,9136619441,$10.99,11082076,meat,breakfast,American,meats,,,gravy,steak,muffin,breaded,potatoes,eggs,sausage,paprika,country,green,english,muffins,chicken,fried,onions,,,,,,,,,,,,,,,,,,,,,,,,,
524,Cowboy_Queso,Cowboy_Queso.jpg,Red_Door_Woodfired_Grill,524,"8001 West 159th Street, Overland Park, KS 66223",66223,Red_Door_Woodfired_Grill,,9132763667,,,vegetarian,lunch,mexican,appetizer,,,cheese,cowboy,queso,chips,dip,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Crab_Cake_Salad,Crab_Cake_Salad.jpg,Brady_s_Public_House/Crab_Cake_Salad.jpg,525,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$13.00,,Meat,Lunch,American,Salad,,,lemon,salad,lettuce,crab,cake,tartar,sauce,tomatoes,peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Crab_Cakes,Crab_Cakes.jpg,Brady_s_Public_House/Crab_Cakes.jpg,526,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$12.00,,Meat,Lunch,American,Appetizer,,,tartar,cakes,sauce,crab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Crab_Rangoons,Crab_Rangoons.jpg,China_One_Express/Crab_Rangoons.jpg,527,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$5.25,6812197,Meat,Lunch,Chinese,Appetizer,,,rangoons,fried,crab,greasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Crab_and_Lobster_Bisque,Crab_and_Lobster_Bisque.jpg,Cooper_s_Hawk/Crab_and_Lobster_Bisque.jpg,528,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,Meat,Other,,,,,lobster,crab,bisque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
