Number,Description,File_name,foodPic,ID,Location,Zipcode,Restaurant_Name,Offer_Delivery,Phone,Price,EatStreetAPIKey,Dietary,Type_of_meal,Genre,Class1,Class2,Class3,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,,,,,,,,
248,Build_Your_Own_Omelette_Lamb,Build_Your_Own_Omelette_Lamb.jpg,The_Farmhouse/Build_Your_Own_Omelette_Lamb.jpg,248,"4686 Broadway St Kansas City, MO 64112",64105,The_Farmhouse,0,8165696032,,,Meat,,,,,,lamb,omelette,sausage,own,ham,spinach,cheddar,bacon,mushrooms,peppers,build,swiss,onions,your,,,,,,,,,,,,,,,,,
249,Bulgogi,Bulgogi.jpg,The_Sundry/Bulgogi.jpg,249,"300 E. 39th st. kansas city, mo 64111",64111,The_Sundry,0,8168447878,,,,,,,,,bulgogi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Bulgogi,Bulgogi1.jpg,The_Sundry/Bulgogi1.jpg,250,"300 E. 39th st. kansas city, mo 64111",64111,The_Sundry,0,8168447878,,,,,,,,,bulgogi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Bulgolgi_Pork_Korean_Taco,Bulgolgi_Pork_Korean_Taco1.jpg,KC_Taco_Company/Bulgolgi_Pork_Korean_Taco1.jpg,251,"520 Walnut St, Kansas City, MO 64106",64106,KC_Taco_Company,0,8162145390,$8.00,,Meat,Lunch ,Korean,Taco,,,pork,bulgolgi,slaw,ginger,taco,bulgogi,korean,kimchi,,,,,,,,,,,,,,,,,,,,,,,
252,Burger,Burger.jpg,Eden_Alley_Vegetaria/Burger.jpg,252,"707 W 47th St, Kansas City, MO 64112",64112,Eden_Alley_Vegetaria,0,8165615415,,,vegetarian,dinner,,,,,mustard,potatoes,tofu,veggie,burger,fennel,bun,crumbs,roasted,garlic,bread,onions,ketchup,patty,,,,,,,,,,,,,,,,,
253,Burger,Burger1.jpg,Eden_Alley_Vegetaria/Burger1.jpg,253,"707 W 47th St, Kansas City, MO 64112",64112,Eden_Alley_Vegetaria,0,8165615415,,,vegetarian,dinner,,,,,blue,cheese,tofu,cheddar,veggie,ketchup,mixed,burger,fennel,veggies,edenaise,mozzarella,patty,,,,,,,,,,,,,,,,,,
254,Burger,Burger.jpg,Le_Peep/Burger.jpg,254,"7218 College Blvd. Overland Park KS, 66210",66210,Le_Peep,1,9136619441,$8.59,11082146,Meat,Lunch,American,Burger,,,cheese,hash,beef,burger,lettuce,bun,browns,pickles,onions,,,,,,,,,,,,,,,,,,,,,,
255,Burger,Burger1.jpg,Le_Peep/Burger1.jpg,255,"7218 College Blvd. Overland Park KS, 66210",66210,Le_Peep,1,9136619441,$8.59,11082146,Meat,lunch,American,Burger,,,cheese,beef,burger,fries,waffle,lettuce,bun,onions,,,,,,,,,,,,,,,,,,,,,,,
256,Burger,Burger.jpg,The_Peanut/Burger.jpg,256,"5000 Main St, Kansas City, MO 64112",64112,The_Peanut,0,8167539499,,,,,,,,,burger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Burger,Burger.jpg,The_Sundry/Burger.jpg,257,"300 E. 39th st. kansas city, mo 64111",64111,The_Sundry,0,8168447878,,,,,,,,,burger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Burger,Burger1.jpg,The_Sundry/Burger1.jpg,258,"300 E. 39th st. kansas city, mo 64111",64111,The_Sundry,0,8168447878,,,,,,,,,burger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Burnt_End_Benny,Burnt_End_Benny.jpg,Char_Bar/Burnt_End_Benny.jpg,259,"4050 Pennsylvania Ave #150, Kansas City, MO 64111",64111,Char_Bar,0,8163898600,,,Meat,Other,,,,,biscuits,ends,hollandaise,end,poached,benedict,potatoes,benny,fried,burnt,egg,tomatoes,,,,,,,,,,,,,,,,,,,
260,Burnt_End_Bites,Burnt_End_Bites.jpg,The_Brass_Onion/Burnt_End_Bites.jpg,260,"5501 W 135th St, Overland Park, KS 66224",66224,The_Brass_Onion,0,9138515940,,,vegetarian,Other,,,,,ends,end,onion,house,straws,bites,burnt,bbq,,,,,,,,,,,,,,,,,,,,,,,
261,Burnt_End_Burger,Burnt_End_Burger.jpg,Q39_Midtown/Burnt_End_Burger.jpg,261,"1000 W 39th St, Kansas City, MO 64111",64111,Q39_Midtown,0,8162553753,$12.00,,Meat,Dinner,American,burger,,,ends,spicy,end,beef,slaw,pork,burger,bun,burnt,pulled,bbq,,,,,,,,,,,,,,,,,,,,
262,Burnt_End_Burger,Burnt_End_Burger1.jpg,Q39_Midtown/Burnt_End_Burger1.jpg,262,"1000 W 39th St, Kansas City, MO 64111",64111,Q39_Midtown,0,8162553753,$12.00,,Meat,Dinner,American,burger,,,pork,spicy,end,jalapeno,beef,slaw,ends,burger,bun,onions,burnt,pulled,bbq,,,,,,,,,,,,,,,,,,
263,Burnt_End_Mac_and_Cheese,Burnt_End_Mac_and_Cheese.jpg,Gram and Dun/Burnt_End_Mac_and_Cheese.jpg,263,"600 Ward Pkwy Kansas City, MO 64112",64112,Gram and Dun,0,8163892900,,,Meat,breakfast,,,,,cheese,ends,crumbles,end,sauce,pecorino,fontina,mac,pasta,chicharrones,burnt,bbq,,,,,,,,,,,,,,,,,,,
264,Burnt_Ends_Benny,Burnt_Ends_Benny1.jpg,Char_Bar/Burnt_Ends_Benny1.jpg,264,"4050 Pennsylvania Ave #150, Kansas City, MO 64111",64111,Char_Bar,0,8163898600,,,Meat,Other,,,,,biscuits,ends,hollandaise,poached,benedict,potatoes,benny,fried,burnt,egg,tomatoes,,,,,,,,,,,,,,,,,,,,
265,Burnt_Heaven,Burnt_Heaven.jpg,Char_Bar/Burnt_Heaven.jpg,265,"4050 Pennsylvania Ave #150, Kansas City, MO 64111",64111,Char_Bar,0,8163898600,,,Meat,lunch,,,,,sausage,heaven,jalapeno,slaw,mayo,bun,smoked,burnt,bbq,,,,,,,,,,,,,,,,,,,,,,
266,Burnt_Heaven,Burnt_Heaven1.jpg,Char_Bar/Burnt_Heaven1.jpg,266,"4050 Pennsylvania Ave #150, Kansas City, MO 64111",64111,Char_Bar,0,8163898600,,,Meat,lunch,,,,,sausage,heaven,jalapeno,slaw,mayo,bun,smoked,burnt,bbq,,,,,,,,,,,,,,,,,,,,,,
267,Burnt_Pudding,Burnt_Pudding.jpg,Char_Bar/Burnt_Pudding.jpg,267,"4050 Pennsylvania Ave #150, Kansas City, MO 64111",64111,Char_Bar,0,8163898600,,,Other,dessert,,,,,butterscotch,custard,burnt,pudding,blackberries,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Burnt_Pudding,Burnt_Pudding1.jpg,Char_Bar/Burnt_Pudding1.jpg,268,"4050 Pennsylvania Ave #150, Kansas City, MO 64111",64111,Char_Bar,0,8163898600,,,Other,dessert,,,,,butterscotch,custard,burnt,pudding,blackberries,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Burrito_En_Fuego,Burrito_En_Fuego.jpg,Chuy_s/Burrito_En_Fuego.jpg,269,"209 W 46th Terrace, Kansas City, MO 64112",64112,Chuy_s,0,8169312783,,,,,,,,,en,burrito,fuego,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Butcher_s_Cut_Mac_n_Cheese,Butcher_s_Cut_Mac_n_Cheese.jpg,Hogshead/Butcher_s_Cut_Mac_n_Cheese.jpg,270,"4743 Pennsylvania Ave, Kansas City, MO 64112",64112,Hogshead,0,8163212929,,,,dinner,,,,,tomato,cheese,cut,poblano,cheddar,butcher,mac,macaroni,conserva,smoked,,,,,,,,,,,,,,,,,,,,,
271,Buttermilk_Biscuits_and_Gravy,Buttermilk_Biscuits_and_Gravy.jpg,Char_Bar/Buttermilk_Biscuits_and_Gravy.jpg,271,"4050 Pennsylvania Ave #150, Kansas City, MO 64111",64111,Char_Bar,0,8163898600,,,Other,Other,,,,,mushrooms,buttermilk,sausage,biscuits,gravy,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Buttermilk_Fried_Oysters,Buttermilk_Fried_Oysters.jpg,McCormick_and_Schmick_s_Seafood_and_Steaks/Buttermilk_Fried_Oysters.jpg,272,"448 W 47th St, Kansas City, MO 64112",64112,McCormick_and_Schmick_s_Seafood_and_Steaks,0,8165316800,,,meat,Dinner,,,,,cilantro,jalapeno,aioli,slaw,buttermilk,horseradish,fried,oysters,,,,,,,,,,,,,,,,,,,,,,,
273,Buttermilk_Fried_Oysters1,Buttermilk_Fried_Oysters1.jpg,McCormick_and_Schmick_s_Seafood_and_Steaks/Buttermilk_Fried_Oysters1.jpg,273,"448 W 47th St, Kansas City, MO 64112",64112,McCormick_and_Schmick_s_Seafood_and_Steaks,0,8165316800,,,meat,,,,,,oysters1,buttermilk,fried,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Caesar_Salad,Caesar_Salad.jpg,Cupini_s/Caesar_Salad.jpg,274,"1809 Westport Rd Kansas City MO, 64111",64111,Cupini_s,1,8167537662,$4.59,9686606,Vegetarian,Lunch,American,Salad,,,croutonss,salad,cucumbers,walnut,lettuce,caesar,dressing,chicken,,,,,,,,,,,,,,,,,,,,,,,
275,Caesar_Salad,Caesar_Salad1.jpg,Cupini_s/Caesar_Salad1.jpg,275,"1809 Westport Rd Kansas City MO, 64111",64111,Cupini_s,1,8167537662,$4.59,9686606,Meat,Lunch,American,Salad,,,croutonss,salad,cucumbers,walnut,lettuce,caesar,dressing,chicken,,,,,,,,,,,,,,,,,,,,,,,
276,Caesar_Salad,Caesar_Salad.jpg,Brio_Tuscan_Grille/Caesar_Salad.jpg,276,"502 Nichols Rd, Kansas City, MO 64112",64112,Brio_Tuscan_Grille,0,8165615888,,,,,,,,,caper,mustard,salad,aioli,caesar,parmesan,greens,,,,,,,,,,,,,,,,,,,,,,,,
277,Caesar_Salad_add_Chicken,Caesar_Salad_add_Chicken.jpg,The_Oliver/Caesar_Salad_add_Chicken.jpg,277,"4807 Jefferson St, Kansas City, MO 64112",64112,The_Oliver,0,8163842500,,,Meat,lunch,,,,,croutonss,jalapeno,parmigiano,salad,add,reggiano,caesar,chicken,cornbread,,,,,,,,,,,,,,,,,,,,,,
278,Cafe_Benny,Cafe_Benny.jpg,Cafe_Sebastienne/Cafe_Benny.jpg,278,"4420 Warwick Blvd, Kansas City, MO 64111",64111,Cafe_Sebastienne,0,8165617740,,,Meat,breakfast,,,,,cakes,hollandaise,spinach,benedict,potatoes,benny,crab,cafe,egg,,,,,,,,,,,,,,,,,,,,,,
279,Cafe_Benny1,Cafe_Benny1.jpg,Cafe_Sebastienne/Cafe_Benny1.jpg,279,"4420 Warwick Blvd, Kansas City, MO 64111",64111,Cafe_Sebastienne,0,8165617740,,,Meat,breakfast,,,,,cakes,hollandaise,spinach,benedict,potatoes,benny1,crab,cafe,egg,,,,,,,,,,,,,,,,,,,,,,
280,Cajun_Beignet,Cajun_Beignet.jpg,Beignet/Cajun_Beignet.jpg,280,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$6.00,,Meat,Breakfast,"Breakfast, French, Cajun",breakfast,bread,,cajun,spicy,sweet,beignet,chicken,bread,,,,,,,,,,,,,,,,,,,,,,,,,
281,Cajun_Chicken_and_Penne,Cajun_Chicken_and_Penne.jpg,Muscle_Maker_Grill/Cajun_Chicken_and_Penne.jpg,281,"14967 W 119th St Olathe KS, 66062",66062,Muscle_Maker_Grill,1,9135385253,$11.00,12112976,Meat,Lunch,Italian,Pasta,,,cajun,scallions,penne,chicken,noodles,sauce,tomatoes,wine,,,,,,,,,,,,,,,,,,,,,,,
282,Cajun_Chicken_and_Penne_sub_shrimp,Cajun_Chicken_and_Penne_sub_shrimp.jpg,Muscle_Maker_Grill/Cajun_Chicken_and_Penne_sub_shrimp.jpg,282,"14967 W 119th St Olathe KS, 66062",66062,Muscle_Maker_Grill,1,9135385253,$11.00,12112976,Meat,lunch,Italian,Pasta,,,cajun,sub,scallions,wine,penne,chicken,noodles,sauce,tomatoes,shrimp,,,,,,,,,,,,,,,,,,,,,
283,Cajun_Chicken_Pasta,Cajun_Chicken_Pasta.jpg,Red_Door_Woodfired_Grill,283,"8001 West 159th Street, Overland Park, KS 66223",66223,Red_Door_Woodfired_Grill,,9132763667,16,,meat,lunch,italian,pasta,,,andouille,cajun,spinach,creole,cavatappi,pasta,sausage,blackened,scallions,creamy,garlic,tomatoes,roasted,peppers,chicken,noodles,sauce,red,bread,,,,,,,,,,,,
284,Cajun_Chicken_Pasta,Cajun_Chicken_Pasta1.jpg,Red_Door_Woodfired_Grill,284,"8001 West 159th Street, Overland Park, KS 66223",66223,Red_Door_Woodfired_Grill,,9132763667,16,,meat,lunch,italian,pasta,,,andouille,cajun,spinach,creole,cavatappi,pasta,sausage,blackened,scallions,creamy,garlic,tomatoes,roasted,peppers,chicken,noodles,sauce,red,bread,,,,,,,,,,,,
285,Cajun_Grilled_Chicken_Sandwich,Cajun_Grilled_Chicken_Sandwich.jpg,MO_Brew/Cajun_Grilled_Chicken_Sandwich.jpg,285,"1403 W 39th St, Kansas City, MO 64111",64111,MO_Brew,0,8164926183,,,,lunch,,,,,grilled,cajun,sandwich,chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Calamari_Fries,Calamari_Fries.jpg,Brick_House/Calamari_Fries.jpg,286,"400 E 31st St, Kansas City, MO 64108",64108,Brick_House,0,8162553912,,,Meat,Other,,,,,calamari,fried,fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Calamari_Fries,Calamari_Fries1.jpg,Brick_House/Calamari_Fries1.jpg,287,"400 E 31st St, Kansas City, MO 64108",64108,Brick_House,0,8162553912,,,Meat,Other,,,,,calamari,fried,fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Calamari_Fritti,Calamari_Fritti.jpg,Osteria_Il_Centro/Calamari_Fritti.jpg,288,"5101 Main St Kansas City, MO 64112",64112,Osteria_Il_Centro,0,8165612369,,,,lunch,,,,,calamari,fritti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Calamari_Fritto_Misto,Calamari_Fritto_Misto.jpg,McCormick_and_Schmick_s_Seafood_and_Steaks/Calamari_Fritto_Misto.jpg,289,"448 W 47th St, Kansas City, MO 64112",64112,McCormick_and_Schmick_s_Seafood_and_Steaks,0,8165316800,,,meat,dinner,,,,,tomato,cilantro,fritti,jalapeno,sauce,roasted,fritto,aioli,misto,calamari,,,,,,,,,,,,,,,,,,,,,
290,California_Chicken_and_Avocado_Flatbread,California_Chicken_and_Avocado_Flatbread.jpg,Schlotzsky_s/California_Chicken_and_Avocado_Flatbread.jpg,290,"12221 S Strangline Rd Olathe KS, 66062",66062,Schlotzsky_s,1,9137822867,$7.50,11100429,Meat,lunch,Italian,bread,appetizer,pizza,flatbread,cheese,cilantro,cheddar,mayo,avocado,bacon,california,chicken,peppers,chipotle,sauce,mozzarella,cream,,,,,,,,,,,,,,,,,
291,California_Burger_add_bacon,California_Burger_add_bacon.jpg,KC_Kitchen_and_Pizzeria/California_Burger_add_bacon.jpg,291,"3906 Waddell Ave, Kansas City, MO 64111",64111,KC_Kitchen_and_Pizzeria,0,8165994533,,,Meat,lunch,,,,,tomato,guacamole,onion,burger,bacon,lettuce,add,california,swiss,,,,,,,,,,,,,,,,,,,,,,
292,California_Roll,California_Roll.jpg,Domo/California_Roll.jpg,292,"6322 Brookside Plaza, Kansas City, MO 64113",64113,Domo,0,8163336315,,,,sushi,,,,,california,rice,sushi,seaweed,roll,,,,,,,,,,,,,,,,,,,,,,,,,,
293,California_Roll,California_Roll.jpg,PF_Chang_s/California_Roll.jpg,293,"102 W 47th St, Kansas City, MO 64112",64112,PF_Chang_s,0,8169319988,,,,lunch,,,,,avocado,cucumbers,mix,california,krab,roll,,,,,,,,,,,,,,,,,,,,,,,,,
294,California_Roll,California_Roll.jpg,Yard_House/California_Roll.jpg,294,"1300 Main St Ste 124.1A, Kansas City, MO 64105",64105,Yard_House,0,8165270952,,,,Other,,,,,cilantro,serranos,mirin,masago,avocado,cucumbers,crispyy,california,crab,soy,nori,rice,roll,tomatoes,,,,,,,,,,,,,,,,,
295,California_Turkey_Sandwich,California_Turkey_Sandwich.jpg,Le_Peep/California_Turkey_Sandwich.jpg,295,"7218 College Blvd. Overland Park KS, 66210",66210,Le_Peep,1,9136619441,$9.89,11082150,Meat,breakfast,American,Sandwich,s,,turkey,flatbread,sandwich,avocado,mayo,bacon,lettuce,fruit,california,pita,mozzarella,tomatoes,,,,,,,,,,,,,,,,,,,
296,Calzone,Calzone.jpg,Artego_Pizza/Calzone.jpg,296,"900 W 39th St, Kansas City, MO 64111",64111,Artego_Pizza,0,8169604787,,,meat,lunch,italian,pizza,misc,,calzone,mozzarella,parmesan,pepperoni,bread,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Campanelle_Carbonara,Campanelle_Carbonara.jpg,Brio_Tuscan_Grille/Campanelle_Carbonara.jpg,297,"502 Nichols Rd, Kansas City, MO 64112",64112,Brio_Tuscan_Grille,0,8165615888,,,Meat,dinner,,,,,carbonara,campanelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Campanelle_Carbonara,Campanelle_Carbonara1.jpg,Brio_Tuscan_Grille/Campanelle_Carbonara1.jpg,298,"502 Nichols Rd, Kansas City, MO 64112",64112,Brio_Tuscan_Grille,0,8165615888,,,Meat,dinner,,,,,spinach,bacon,creamy,parmesan,alfredo,grilled,chicken,pasta,carbonara,campanelle,,,,,,,,,,,,,,,,,,,,,
299,Campfire_Breakfast,Campfire_Breakfast.jpg,Char_Bar/Campfire_Breakfast.jpg,299,"4050 Pennsylvania Ave #150, Kansas City, MO 64111",64111,Char_Bar,0,8163898600,,,Meat,breakfast,,,,,ham,cheddar,pit,bacon,buttermilk,campfire,grits,breakfast,biscuits,,,,,,,,,,,,,,,,,,,,,,
300,Cannoli,Cannoli.jpg,Cupini_s/Cannoli.jpg,300,"1809 Westport Rd Kansas City MO, 64111",64111,Cupini_s,1,8167537662,$4.59,9686913,Vegetarian,Dessert,Dessert,dessert,bakery,,cannoli,sugar,powdered,ricotta,chocolate,chips,pastries,,,,,,,,,,,,,,,,,,,,,,,,
301,Cannoli,Cannoli1.jpg,Cupini_s/Cannoli1.jpg,301,"1809 Westport Rd Kansas City MO, 64111",64111,Cupini_s,1,8167537662,$4.59,9686913,Vegetarian,Dessert,Dessert,dessert,bakery,,cannoli,sugar,powdered,ricotta,chocolate,chips,pastries,,,,,,,,,,,,,,,,,,,,,,,,
302,Cappuccino_Roll,Cappuccino_Roll.jpg,Domo/Cappuccino_Roll.jpg,302,"6322 Brookside Plaza, Kansas City, MO 64113",64113,Domo,0,8163336315,,,,sushi,,,,,cappuccino,rice,sushi,seaweed,roll,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Caprese,Caprese.jpg,Artego_Pizza/Caprese.jpg,303,"900 W 39th St, Kansas City, MO 64111",64111,Artego_Pizza,0,8169604787,,,vegetarian,lunch,italian,pizza,misc,,flatbread,tomato,oil,caprese,balsamic,olive,basil,mozzarella,,,,,,,,,,,,,,,,,,,,,,,
304,Caprese_Sandwich,Caprese_Sandwich.jpg,Schlotzsky_s/Caprese_Sandwich.jpg,304,"12221 S Strangline Rd Olathe KS, 66062",66062,Schlotzsky_s,1,9137822867,$8.00,11100410,Meat,Lunch,American,Sandwich,,,cheese,sandwich,caprese,greens,mayo,glaze,mozzarella,bun,basil,pesto,onions,balsamic,tomatoes,,,,,,,,,,,,,,,,,,
305,Caprese_Sandwich,Caprese_Sandwich.jpg,Which_Wich/Caprese_Sandwich.jpg,305,"554 Westport Rd #100, Kansas City, MO 64111",64111,Which_Wich,1,8165695965,,,vegetarian,,,,,,tomato,sandwich,caprese,spinach,balsamic,vinaigrette,pesto,mozzarella,,,,,,,,,,,,,,,,,,,,,,,
306,Caramel_Banana_Bread_Sundae,Caramel_Banana_Bread_Sundae.jpg,Cooper_s_Hawk/Caramel_Banana_Bread_Sundae.jpg,306,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,vegetarian,dessert,,,,,cream,bananas,rum,vanilla,sundae,walnuts,caramel,ice,candied,banana,caramelized,bread,,,,,,,,,,,,,,,,,,,
307,Caramel_Cheesecake,Caramel_Cheesecake.jpg,Cafe_Trio/Caramel_Cheesecake.jpg,307,"4558 Main St, Kansas City, MO 64111",64111,Cafe_Trio,0,8167563227,,,,,,,,,cheesecake,caramel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Carnivore_Pizza,Carnivore_Pizza.jpg,Yard_House/Carnivore_Pizza.jpg,308,"1300 Main St Ste 124.1A, Kansas City, MO 64105",64105,Yard_House,0,8165270952,,,,Other,,,,,tomato,sausage,spicy,beef,bacon,carnivore,crispyy,seasoned,pepperoni,sauce,mozzarella,pizza,,,,,,,,,,,,,,,,,,,
309,Cashew_Chicken,Cashew_Chicken.jpg,Bo_Ling_s_Plaza/Cashew_Chicken.jpg,309,"4701 Jefferson St, Kansas City, MO 64112",64112,Bo_Ling_s_Plaza,0,8167531718,,,,,,,,,chicken,cashews,cashew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Cauilifower_Rice_Bowl,Cauilifower_Rice_Bowl.jpg,Zoes_Kitchen/Cauilifower_Rice_Bowl.jpg,310,"100 Ward Pkwy, Kansas City, MO 64112",64112,Zoes_Kitchen,0,8165312044,,,,,,,,,rice,bowl,cauliflower,cauilifower,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,CBGB_Burger,CBGB_Burger.jpg,Char_Bar/CBGB_Burger.jpg,311,"4050 Pennsylvania Ave #150, Kansas City, MO 64111",64111,Char_Bar,0,8163898600,,,Meat,Other,,,,,gouda,onion,mayo,brisket,bacon,schmear,burger,bun,cbgb,fried,egg,,,,,,,,,,,,,,,,,,,,
312,Charcutterie_Plate,Charcutterie_Plate.jpg,The_Sundry/Charcutterie_Plate.jpg,312,"300 E. 39th st. kansas city, mo 64111",64111,The_Sundry,0,8168447878,,,,,,,,,charcuterie,plate,charcutterie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Chardonnay_Chicken,Chardonnay_Chicken.jpg,Nick_and_Jake_s/Chardonnay_Chicken.jpg,313,"5031 Main St, Kansas City, MO 64112",64112,Nick_and_Jake_s,0,8164211111,,,Meat,lunch,,meat,,,tomato,chardonnay,buttered,spinach,bacon,artichokes,jack,chicken,gnocchi,,,,,,,,,,,,,,,,,,,,,,
314,Charred_Eggplant_Toast,Charred_Eggplant_Toast.jpg,Char_Bar/Charred_Eggplant_Toast.jpg,314,"4050 Pennsylvania Ave #150, Kansas City, MO 64111",64111,Char_Bar,0,8163898600,,,Other,Other,,,,,toast,grapefruit,charred,eggplant,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Charred_Eggplant_Toast,Charred_Eggplant_Toast1.jpg,Char_Bar/Charred_Eggplant_Toast1.jpg,315,"4050 Pennsylvania Ave #150, Kansas City, MO 64111",64111,Char_Bar,0,8163898600,,,,,,,,,toast,grapefruit,charred,eggplant,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Cheese_and_Crackers,Cheese_and_Crackers.jpg,West_Bottoms_Kitchen_KC/Cheese_and_Crackers.jpg,316,"1623 Genessee St, Kansas City, MO 64102",64102,West_Bottoms_Kitchen_KC,0,8168789694,,,vegetarian,dinner,,,,,cheese,spicy,smokey,vegetables,pickled,pimento,crackers,saltines,,,,,,,,,,,,,,,,,,,,,,,
317,Cheese_Bread_Sticks,Cheese_Bread_Sticks.jpg,Artego_Pizza/Cheese_Bread_Sticks.jpg,317,"900 W 39th St, Kansas City, MO 64111",64111,Artego_Pizza,0,8169604787,,,vegetarian,lunch,italian,appetizer,,,cheese,sticks,parsley,marinara,mozzarella,bread,,,,,,,,,,,,,,,,,,,,,,,,,
318,Cheese_Bread_Sticks,Cheese_Bread_Sticks1.jpg,Artego_Pizza/Cheese_Bread_Sticks1.jpg,318,"900 W 39th St, Kansas City, MO 64111",64111,Artego_Pizza,0,8169604787,,,vegetarian,lunch,italian,appetizer,,,cheese,sticks,parsley,marinara,mozzarella,bread,,,,,,,,,,,,,,,,,,,,,,,,,
319,Cheese_Pizza,Cheese_Pizza.jpg,Artego_Pizza/Cheese_Pizza.jpg,319,"900 W 39th St, Kansas City, MO 64111",64111,Artego_Pizza,0,8169604787,,,vegetarian,lunch,italian,pizza,,,cheese,parmesan,parsley,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Cheese_Quesadilla,Cheese_Quesadilla.jpg,Unforked/Cheese_Quesadilla.jpg,320,"2450 Grand Blvd, Kansas City, MO 64108",64108,Unforked,0,8162833675,,,vegetarian,lunch,,,,,cheese,flour,fresco,crispyy,quesadilla,jack,signature,tortilla,,,,,,,,,,,,,,,,,,,,,,,
321,Cheese_Slice,Cheese_Slice.jpg,Joe_s_Pizza_Buy_the_Slice/Cheese_Slice.jpg,321,"4058 Pennsylvania Ave, Kansas City, MO 64111",64111,Joe_s_Pizza_Buy_the_Slice,0,8169312777,,,vegetarian,lunch,,,,,provolone,slice,cheddar,mozzarella,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Cheese_Slice,Cheese_Slice2.jpg,Joe_s_Pizza_Buy_the_Slice/Cheese_Slice2.jpg,322,"4058 Pennsylvania Ave, Kansas City, MO 64111",64111,Joe_s_Pizza_Buy_the_Slice,0,8169312777,,,vegetarian,dinner,,,,,provolone,slice,cheddar,mozzarella,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Cheese_Sticks,Cheese_Sticks.jpg,Joe_s_Pizza_Buy_the_Slice/Cheese_Sticks.jpg,323,"4058 Pennsylvania Ave, Kansas City, MO 64111",64111,Joe_s_Pizza_Buy_the_Slice,0,8169312777,,,,,,,,,cheese,sticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Cheeseburger,Cheeseburger.jpg,Hogshead/Cheeseburger.jpg,324,"4743 Pennsylvania Ave, Kansas City, MO 64112",64112,Hogshead,0,8163212929,,,Meat,breakfast,,,,,cheese,onion,beef,cheeseburger,bacon,bun,pickles,egg,red,,,,,,,,,,,,,,,,,,,,,,
325,Cheeseburger,Cheeseburger1.jpg,Hogshead/Cheeseburger1.jpg,325,"4743 Pennsylvania Ave, Kansas City, MO 64112",64112,Hogshead,0,8163212929,,,Meat,lunch,,,,,cheese,beef,onion,cheeseburger,bacon,bun,pickles,egg,red,,,,,,,,,,,,,,,,,,,,,,
326,Cheeseburger,Cheeseburger2.jpg,Hogshead/Cheeseburger2.jpg,326,"4743 Pennsylvania Ave, Kansas City, MO 64112",64112,Hogshead,0,8163212929,,,Meat,dinner,,,,,cheese,onion,beef,cheeseburger,bacon,bun,pickles,egg,red,,,,,,,,,,,,,,,,,,,,,,
327,Cheeseburger,Cheeseburger3.jpg,Hogshead/Cheeseburger3.jpg,327,"4743 Pennsylvania Ave, Kansas City, MO 64112",64112,Hogshead,0,8163212929,,,Meat,lunch,,,,,cheese,onion,beef,cheeseburger,bacon,bun,pickle,egg,red,,,,,,,,,,,,,,,,,,,,,,
328,Cheesecake_Chimis,Cheesecake_Chimis.jpg,TiKiTaco/Cheesecake_Chimis.jpg,328,"1710 W 39th St, Kansas City, MO 64111",64111,TiKiTaco,0,8164893686,,,vegetarian,dessert,,,,,cheesecake,fried,chimis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
